Base_Lead_Time_Days,Scheduled_Lead_Time_Days,Actual_Lead_Time_Days,Delay_Days,Geopolitical_Risk_Index,Weather_Severity_Index,Inflation_Rate_Pct,Shipping_Cost_USD,Order_Weight_Kg,edge_source,edge_target,Route_Type_Atlantic,Route_Type_Commodity,Route_Type_Intra-Asia,Route_Type_Pacific,Route_Type_Suez,Transportation_Mode_Air,Transportation_Mode_Sea,Product_Category_Auto Parts,Product_Category_Consumer Electronics,Product_Category_Perishable Foods,Product_Category_Pharmaceuticals,Product_Category_Raw Materials,Product_Category_Semiconductors,Product_Category_Textiles,Delivery_Status_Late,Delivery_Status_On Time,Disruption_Event_Geopolitical Conflict (Route Diversion),Disruption_Event_Port Congestion,Disruption_Event_Severe Weather (Typhoon/Storm),Mitigation_Action_Taken_Expedited Air Freight,Mitigation_Action_Taken_Re-routing,Mitigation_Action_Taken_Standard Shipping
12,15,19,4,0.19,1.3,4.51,5192.15,7933,123,193,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
12,15,19,4,0.74,8.3,2.18,4572.55,4778,37,104,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
18,20,27,7,0.58,1.2,3.63,5389.38,5685,69,144,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
12,13,15,2,0.44,9.9,2.85,6096.82,7698,37,104,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
28,31,47,16,0.31,8.0,3.23,8076.94,5138,14,73,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
24,26,42,16,0.69,6.0,2.74,5316.06,3932,90,142,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
7,8,12,4,0.1,2.0,2.6,2506.52,4143,38,94,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
12,13,17,4,0.27,0.8,2.2,2430.08,3479,37,104,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
12,14,18,4,0.31,9.3,4.12,1837.28,2550,37,104,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
18,21,23,2,0.32,2.2,5.66,1175.39,1619,69,144,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
12,13,19,6,0.74,8.0,3.67,6891.84,4801,37,104,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
2,3,6,3,0.18,5.0,2.64,56926.39,5316,98,123,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
24,26,41,15,0.71,8.9,2.63,1644.34,1202,89,135,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
28,30,47,17,0.31,6.7,3.79,3982.4,3800,61,148,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
3,4,17,13,0.26,4.4,1.37,107941.68,6490,101,138,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
7,10,12,2,0.26,5.5,3.47,5335.41,7699,38,94,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
7,10,10,0,0.66,3.1,3.08,2097.16,2297,30,92,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
28,31,45,14,0.81,4.4,3.69,8790.82,6071,26,101,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
12,13,15,2,0.28,6.3,6.24,4777.34,4524,37,104,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
24,26,39,13,0.65,2.9,5.13,11369.15,8613,17,66,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
2,5,8,3,0.89,5.2,3.26,42399.13,2472,98,123,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
24,25,42,17,0.66,7.3,2.5,1245.66,938,82,142,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
28,29,40,11,0.72,2.7,6.23,10665.38,7751,115,176,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
7,9,14,5,0.69,9.2,3.39,5104.81,5492,7,103,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
3,6,13,7,0.86,8.4,1.16,68524.63,2791,108,130,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
2,4,5,1,0.65,4.9,4.78,55897.0,3733,31,98,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
3,6,16,10,0.86,7.3,3.6,147753.94,6018,36,81,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
12,15,17,2,0.42,0.8,4.56,5040.57,6454,37,104,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,4,5,1,0.47,8.7,2.24,131134.66,9830,83,120,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
2,5,7,2,0.38,5.9,3.13,63218.63,5048,31,98,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
18,21,26,5,0.24,6.1,0.48,10642.18,9536,131,198,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
35,36,38,2,0.17,4.8,3.13,4765.76,7406,0,72,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
3,4,16,12,0.67,2.6,5.96,146658.74,6653,101,138,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
12,15,18,3,0.72,2.7,1.77,8641.71,9135,123,193,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
7,9,11,2,0.32,3.3,2.15,5532.12,7620,38,90,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
28,31,44,13,0.11,8.2,5.16,2839.82,3198,61,148,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
12,14,19,5,0.86,5.9,2.5,1317.62,1288,123,193,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
35,38,38,0,0.75,9.3,3.65,3421.68,3555,73,120,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
7,9,12,3,0.58,8.9,2.37,3446.93,3636,71,112,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
28,31,42,11,0.14,9.2,3.42,2663.5,1947,86,125,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
24,25,41,16,0.81,5.0,2.69,3143.62,2171,13,66,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
28,30,41,11,0.52,1.0,3.24,2410.11,1982,49,88,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
2,3,9,6,0.25,6.0,6.47,61392.38,5412,83,120,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
18,19,25,6,0.12,6.8,5.21,5346.88,8680,69,144,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
28,29,38,9,0.18,5.9,2.27,8852.83,9378,76,125,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
24,26,35,9,0.21,7.1,5.4,9044.52,6229,31,65,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
24,25,41,16,0.27,3.7,3.6,1923.3,1893,145,191,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
12,14,15,1,0.4,3.4,3.4,5888.19,7647,123,193,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
24,27,42,15,0.79,5.0,3.92,7729.94,5398,13,66,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
18,19,20,1,0.29,9.9,3.48,4265.51,6012,136,152,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
24,26,42,16,0.49,9.0,2.37,497.07,417,145,191,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
12,15,17,2,0.17,3.5,3.49,4185.32,6504,123,193,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
28,29,49,20,0.23,8.5,4.0,7754.9,7881,115,176,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
7,9,10,1,0.6,1.7,3.44,3382.72,3844,120,194,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
7,9,15,6,0.77,4.9,0.05,7033.1,4415,9,94,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
18,20,23,3,0.51,7.1,4.02,3609.35,4346,131,198,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
28,31,42,11,0.14,7.9,2.82,8363.95,9171,133,186,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
18,21,22,1,0.4,9.2,2.77,3652.11,4743,136,152,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
18,20,23,3,0.7,7.3,3.29,7137.32,5089,131,198,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
7,10,17,7,0.64,8.3,3.9,3960.6,4025,120,194,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
3,4,18,14,0.81,6.5,4.69,100919.81,4224,83,120,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
24,26,35,9,0.64,0.7,4.4,400.16,305,16,65,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
28,30,43,13,0.53,5.8,1.87,10110.24,8260,115,176,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
7,9,11,2,0.87,3.2,3.69,501.91,488,71,112,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
35,36,40,4,0.49,5.4,3.77,6010.21,7334,0,72,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
12,13,16,3,0.35,0.8,3.13,3513.51,4732,37,104,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
7,8,11,3,0.11,9.0,0.95,2773.51,4543,30,92,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
18,21,22,1,0.89,4.4,5.69,8076.91,7770,136,152,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
24,27,40,13,0.3,0.3,4.31,9285.12,5952,89,135,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
24,27,37,10,0.76,7.4,2.7,7368.06,5233,89,135,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
3,4,23,19,0.16,9.6,2.84,120398.26,7863,101,138,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
24,25,39,14,0.61,2.6,2.29,9978.13,7747,13,66,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
3,5,15,10,0.66,4.5,3.9,144772.58,6607,36,81,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
24,27,36,9,0.23,5.2,1.61,7598.45,7722,145,191,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
2,3,4,1,0.23,1.1,3.45,25371.79,2273,83,120,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
24,27,45,18,0.89,4.5,4.1,14258.16,9430,82,142,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
24,25,40,15,0.16,4.3,1.04,7454.62,8033,82,142,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
12,14,19,5,0.41,0.6,2.73,766.98,989,123,193,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
12,13,14,1,0.2,1.8,3.85,6191.46,9381,123,193,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
2,4,10,6,0.8,2.6,3.62,81348.3,4565,83,120,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
18,20,22,2,0.72,1.5,2.37,2499.33,2642,136,152,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
7,8,14,6,0.87,9.2,3.37,8462.5,8228,120,194,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
28,29,48,19,0.16,6.0,5.83,8659.63,6221,76,125,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
3,4,24,20,0.48,0.6,2.63,68669.04,3515,36,81,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
7,8,17,9,0.52,1.4,3.43,692.21,506,83,120,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
12,14,18,4,0.24,0.2,3.22,688.14,1009,37,104,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
2,3,9,6,0.45,7.3,3.02,43371.24,3296,83,120,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
2,3,6,3,0.46,2.9,3.54,13527.74,1021,98,123,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
12,14,15,1,0.34,4.7,3.83,513.69,697,123,193,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
2,5,10,5,0.48,8.5,5.05,89758.15,6126,31,98,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
18,21,22,1,0.36,7.8,2.68,1571.55,2101,131,198,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
18,20,25,5,0.41,7.6,3.24,10065.71,7932,69,144,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
28,29,42,13,0.24,1.6,4.67,2668.48,2690,104,128,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
35,36,38,2,0.29,4.7,5.55,5029.64,7089,136,158,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
28,31,41,10,0.28,3.6,1.8,3243.01,3167,61,148,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
24,25,34,9,0.88,2.7,5.07,9503.78,6319,16,65,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
24,26,41,15,0.45,6.6,2.6,9079.31,7827,145,191,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
7,8,13,5,0.78,1.6,4.8,2991.47,2801,9,94,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
28,31,39,8,0.61,2.7,3.69,8554.9,4428,104,128,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
18,20,26,6,0.78,6.0,4.37,8333.25,8512,131,198,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,3,5,2,0.61,3.8,0.55,25773.36,1764,98,123,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
18,21,28,7,0.71,9.7,3.04,5328.02,5193,131,198,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
35,37,41,4,0.16,0.4,2.74,5625.88,8818,136,158,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
35,38,40,2,0.27,6.2,2.42,2942.79,4213,73,120,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
18,20,26,6,0.29,5.7,3.71,4046.47,5228,136,152,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
28,30,45,15,0.62,0.7,4.28,12779.86,9861,9,95,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
28,29,47,18,0.44,0.0,4.53,1275.26,1107,133,186,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
12,15,16,1,0.63,8.5,2.02,8415.44,9387,123,193,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
28,30,41,11,0.36,4.8,2.87,9093.5,8358,9,95,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
24,25,38,13,0.38,5.2,2.38,2856.05,2587,31,65,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
7,10,13,3,0.52,5.0,2.16,7942.0,9500,38,94,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
28,29,45,16,0.8,1.3,3.71,5096.16,3539,92,128,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
28,31,47,16,0.6,8.5,3.31,5484.8,4285,133,186,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
28,30,41,11,0.74,0.4,2.45,12999.89,9339,9,95,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
28,31,45,14,0.21,4.3,3.79,7112.86,7348,19,88,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
28,31,47,16,0.62,4.0,4.86,11152.08,8605,115,176,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
24,27,45,18,0.49,6.7,4.94,5830.08,4891,82,142,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
7,8,17,9,0.32,4.8,4.46,5262.84,6645,38,94,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
24,25,41,16,0.76,3.8,4.6,10741.63,7629,13,66,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
7,10,16,6,0.25,9.4,5.09,6808.5,9078,7,103,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
35,38,41,3,0.67,7.8,3.83,10869.06,7889,0,72,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
18,20,24,4,0.77,7.5,4.34,2452.25,2519,136,152,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
2,4,8,4,0.41,1.4,3.1,2275.31,163,83,120,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
18,21,27,6,0.5,4.6,2.83,1062.0,1180,131,198,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
24,27,37,10,0.72,0.7,4.31,6891.01,5008,76,135,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
35,37,38,1,0.63,4.2,4.83,1611.91,1798,115,194,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
3,5,15,10,0.73,3.0,4.76,82369.46,3607,108,130,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
4,7,10,3,0.85,9.7,4.11,165285.25,9845,83,120,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
18,19,25,6,0.46,1.3,4.72,3009.94,3436,69,144,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
24,27,38,11,0.85,5.8,4.84,3759.2,2540,90,142,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
2,4,5,1,0.3,7.2,3.91,87478.46,7415,98,123,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
7,9,15,6,0.51,5.5,4.95,5407.92,5969,7,103,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
3,5,13,8,0.14,6.0,2.88,103966.63,6909,36,81,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
3,6,16,10,0.42,4.6,1.16,148302.53,7912,31,98,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
7,10,11,1,0.26,9.9,1.92,2559.25,3693,38,94,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
28,29,47,18,0.24,4.4,2.6,1274.72,1285,49,88,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
35,37,38,1,0.88,3.9,3.5,3458.73,3345,136,158,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
7,10,10,0,0.6,8.4,3.71,3077.36,3497,38,90,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
24,25,43,18,0.78,3.0,4.07,10510.54,7381,90,142,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
35,37,40,3,0.29,7.0,2.58,1609.15,2268,136,158,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
18,19,26,7,0.31,8.5,4.25,7043.34,8961,131,198,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
18,20,28,8,0.66,6.3,2.5,8073.58,8106,131,198,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
2,5,5,0,0.24,0.6,3.07,82405.72,7323,83,120,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
24,25,43,18,0.57,1.2,3.19,17368.58,9219,13,66,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
3,5,21,16,0.35,0.3,1.72,104924.16,5888,36,81,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
3,6,16,10,0.29,1.1,4.05,82568.76,4849,8,86,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
3,4,19,15,0.41,7.6,4.37,145080.53,7795,44,99,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
12,14,19,5,0.51,5.8,4.17,2866.89,3452,123,193,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
28,29,44,15,0.73,1.6,3.45,7117.9,5143,115,176,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
7,9,11,2,0.82,1.1,2.96,5632.63,5627,120,194,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
24,27,38,11,0.39,6.8,3.1,14611.68,8760,89,135,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
24,25,36,11,0.83,0.2,4.36,10291.92,7030,82,142,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
24,27,36,9,0.12,2.2,1.89,2595.71,2897,17,66,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
24,25,41,16,0.48,0.4,3.51,5135.01,4337,76,135,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
24,25,39,14,0.63,1.1,4.21,11350.02,8704,82,142,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
28,31,45,14,0.6,4.1,3.84,10497.28,8201,92,128,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
18,20,23,3,0.8,9.8,1.27,8685.27,8773,69,144,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
3,4,13,9,0.54,8.5,2.12,63525.0,3125,101,138,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
2,5,8,3,0.71,2.8,3.29,21818.66,1406,31,98,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
2,4,8,4,0.41,4.0,2.88,107554.09,7705,83,120,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
28,30,42,12,0.73,9.3,4.31,11750.16,8490,49,95,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
