Order_ID,Order_Date,Origin_City,Destination_City,Base_Lead_Time_Days,Scheduled_Lead_Time_Days,Actual_Lead_Time_Days,Delay_Days,Geopolitical_Risk_Index,Weather_Severity_Index,Inflation_Rate_Pct,Shipping_Cost_USD,Order_Weight_Kg,Route_Type_Atlantic,Route_Type_Commodity,Route_Type_Intra-Asia,Route_Type_Pacific,Route_Type_Suez,Transportation_Mode_Air,Transportation_Mode_Sea,Product_Category_Auto Parts,Product_Category_Consumer Electronics,Product_Category_Perishable Foods,Product_Category_Pharmaceuticals,Product_Category_Raw Materials,Product_Category_Semiconductors,Product_Category_Textiles,Delivery_Status_Late,Delivery_Status_On Time,Disruption_Event_Geopolitical Conflict (Route Diversion),Disruption_Event_Port Congestion,Disruption_Event_Severe Weather (Typhoon/Storm),Mitigation_Action_Taken_Expedited Air Freight,Mitigation_Action_Taken_Re-routing,Mitigation_Action_Taken_Standard Shipping
ORD-C36BAE07,2025-10-24,"Hamburg, DE","New York, US",2,5,8,3,0.64,3.4,3.31,103555.91,6958,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
ORD-36089AC5,2025-07-01,"Hamburg, DE","New York, US",12,15,19,4,0.19,1.3,4.51,5192.15,7933,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
ORD-2B0F92E2,2024-08-29,"Hamburg, DE","New York, US",12,15,19,4,0.74,8.3,2.18,4572.55,4778,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
ORD-3CF505B8,2025-09-20,"Shanghai, CN","Los Angeles, US",18,20,27,7,0.58,1.2,3.63,5389.38,5685,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
ORD-76624AC7,2024-11-11,"Hamburg, DE","New York, US",12,13,15,2,0.44,9.9,2.85,6096.82,7698,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
ORD-8A4CFA01,2024-08-19,"Shenzhen, CN","Rotterdam, NL",28,31,47,16,0.31,8.0,3.23,8076.94,5138,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
ORD-5CA34EE8,2024-07-30,"Mumbai, IN","Felixstowe, UK",24,26,42,16,0.69,6.0,2.74,5316.06,3932,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
ORD-85C60821,2024-04-29,"Tokyo, JP","Singapore, SG",7,8,12,4,0.1,2.0,2.6,2506.52,4143,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
ORD-4A96CA45,2025-02-13,"Hamburg, DE","New York, US",12,13,17,4,0.27,0.8,2.2,2430.08,3479,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
ORD-982F3F15,2024-06-07,"Hamburg, DE","New York, US",12,14,18,4,0.31,9.3,4.12,1837.28,2550,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
ORD-7C57A606,2025-02-04,"Shanghai, CN","Los Angeles, US",18,21,23,2,0.32,2.2,5.66,1175.39,1619,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
ORD-B463AFB8,2025-09-22,"Hamburg, DE","New York, US",12,13,19,6,0.74,8.0,3.67,6891.84,4801,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
ORD-D11884FC,2024-01-30,"Shanghai, CN","Los Angeles, US",2,3,6,3,0.18,5.0,2.64,56926.39,5316,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
ORD-1F5EAD09,2024-12-20,"Mumbai, IN","Felixstowe, UK",24,26,41,15,0.71,8.9,2.63,1644.34,1202,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
ORD-429617CB,2024-05-25,"Shenzhen, CN","Rotterdam, NL",28,30,47,17,0.31,6.7,3.79,3982.4,3800,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ORD-330A29C8,2025-01-25,"Shenzhen, CN","Rotterdam, NL",3,4,17,13,0.26,4.4,1.37,107941.68,6490,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
ORD-520FE85A,2025-12-15,"Tokyo, JP","Singapore, SG",7,10,12,2,0.26,5.5,3.47,5335.41,7699,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
ORD-3E83DD5C,2024-01-04,"Tokyo, JP","Singapore, SG",7,10,10,0,0.66,3.1,3.08,2097.16,2297,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
ORD-9FC05EF9,2025-10-14,"Shenzhen, CN","Rotterdam, NL",28,31,45,14,0.81,4.4,3.69,8790.82,6071,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
ORD-F4119428,2025-04-30,"Hamburg, DE","New York, US",12,13,15,2,0.28,6.3,6.24,4777.34,4524,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
ORD-DEF55D98,2024-05-03,"Mumbai, IN","Felixstowe, UK",24,26,39,13,0.65,2.9,5.13,11369.15,8613,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
ORD-A6EF34EE,2025-03-02,"Hamburg, DE","New York, US",2,5,8,3,0.89,5.2,3.26,42399.13,2472,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
ORD-9A11A18C,2024-06-25,"Mumbai, IN","Felixstowe, UK",24,25,42,17,0.66,7.3,2.5,1245.66,938,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ORD-AC3F371A,2025-01-05,"Shenzhen, CN","Rotterdam, NL",28,29,40,11,0.72,2.7,6.23,10665.38,7751,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
ORD-20016473,2025-12-30,"Tokyo, JP","Singapore, SG",7,9,14,5,0.69,9.2,3.39,5104.81,5492,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
ORD-BE23FB30,2024-11-19,"Mumbai, IN","Felixstowe, UK",3,6,13,7,0.86,8.4,1.16,68524.63,2791,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
ORD-AF61D5C0,2024-11-01,"Hamburg, DE","New York, US",2,4,5,1,0.65,4.9,4.78,55897.0,3733,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
ORD-84A4405A,2025-10-12,"Shenzhen, CN","Rotterdam, NL",3,6,16,10,0.86,7.3,3.6,147753.94,6018,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
ORD-0815F5FB,2025-05-19,"Hamburg, DE","New York, US",12,15,17,2,0.42,0.8,4.56,5040.57,6454,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
ORD-76C2A636,2024-01-24,"Tokyo, JP","Singapore, SG",2,4,5,1,0.47,8.7,2.24,131134.66,9830,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
ORD-171C99A4,2024-12-18,"Hamburg, DE","New York, US",2,5,7,2,0.38,5.9,3.13,63218.63,5048,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
ORD-E74BA0A8,2024-09-13,"Shanghai, CN","Los Angeles, US",18,21,26,5,0.24,6.1,0.48,10642.18,9536,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
ORD-4A17C9DC,2025-12-13,"Santos, BR","Shanghai, CN",35,36,38,2,0.17,4.8,3.13,4765.76,7406,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
ORD-D4B2A0F7,2024-07-03,"Shenzhen, CN","Rotterdam, NL",3,4,16,12,0.67,2.6,5.96,146658.74,6653,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
ORD-AC1D6EA3,2025-03-02,"Hamburg, DE","New York, US",12,15,18,3,0.72,2.7,1.77,8641.71,9135,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
ORD-895F1BE6,2025-06-14,"Tokyo, JP","Singapore, SG",7,9,11,2,0.32,3.3,2.15,5532.12,7620,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
ORD-8BD54034,2024-01-19,"Shenzhen, CN","Rotterdam, NL",28,31,44,13,0.11,8.2,5.16,2839.82,3198,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
ORD-6212A60E,2024-04-19,"Hamburg, DE","New York, US",12,14,19,5,0.86,5.9,2.5,1317.62,1288,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
ORD-EC911BCE,2025-05-31,"Santos, BR","Shanghai, CN",35,38,38,0,0.75,9.3,3.65,3421.68,3555,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
ORD-0A2E60B2,2024-08-02,"Tokyo, JP","Singapore, SG",7,9,12,3,0.58,8.9,2.37,3446.93,3636,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
ORD-3B91C333,2024-12-29,"Shenzhen, CN","Rotterdam, NL",28,31,42,11,0.14,9.2,3.42,2663.5,1947,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
ORD-ABBDEF6A,2024-08-14,"Mumbai, IN","Felixstowe, UK",24,25,41,16,0.81,5.0,2.69,3143.62,2171,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
ORD-BD9FBAA7,2024-05-20,"Shenzhen, CN","Rotterdam, NL",28,30,41,11,0.52,1.0,3.24,2410.11,1982,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ORD-EE64CA63,2025-10-23,"Tokyo, JP","Singapore, SG",2,3,9,6,0.25,6.0,6.47,61392.38,5412,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
ORD-E55013FC,2024-11-15,"Shanghai, CN","Los Angeles, US",18,19,25,6,0.12,6.8,5.21,5346.88,8680,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
ORD-D29B963E,2025-03-02,"Shenzhen, CN","Rotterdam, NL",28,29,38,9,0.18,5.9,2.27,8852.83,9378,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
ORD-6C8ABC3D,2024-10-03,"Mumbai, IN","Felixstowe, UK",24,26,35,9,0.21,7.1,5.4,9044.52,6229,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
ORD-1677CFCE,2025-08-09,"Mumbai, IN","Felixstowe, UK",24,25,41,16,0.27,3.7,3.6,1923.3,1893,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
ORD-29E9B1F0,2025-03-20,"Hamburg, DE","New York, US",12,14,15,1,0.4,3.4,3.4,5888.19,7647,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
ORD-EE65B656,2024-05-16,"Mumbai, IN","Felixstowe, UK",24,27,42,15,0.79,5.0,3.92,7729.94,5398,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
ORD-B98BDCC9,2024-02-19,"Shanghai, CN","Los Angeles, US",18,19,20,1,0.29,9.9,3.48,4265.51,6012,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
ORD-FFB600C0,2024-03-26,"Mumbai, IN","Felixstowe, UK",24,26,42,16,0.49,9.0,2.37,497.07,417,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
ORD-9410752F,2024-07-20,"Hamburg, DE","New York, US",12,15,17,2,0.17,3.5,3.49,4185.32,6504,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
ORD-D1A3F437,2025-08-29,"Shenzhen, CN","Rotterdam, NL",28,29,49,20,0.23,8.5,4.0,7754.9,7881,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
ORD-9C5D2AD0,2024-02-17,"Tokyo, JP","Singapore, SG",7,9,10,1,0.6,1.7,3.44,3382.72,3844,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
ORD-24B1C93A,2024-07-04,"Tokyo, JP","Singapore, SG",7,9,15,6,0.77,4.9,0.05,7033.1,4415,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
ORD-F2E659A6,2025-12-31,"Shanghai, CN","Los Angeles, US",18,20,23,3,0.51,7.1,4.02,3609.35,4346,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
ORD-BDD9439A,2025-05-26,"Shenzhen, CN","Rotterdam, NL",28,31,42,11,0.14,7.9,2.82,8363.95,9171,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ORD-407E8CA9,2025-04-20,"Shanghai, CN","Los Angeles, US",18,21,22,1,0.4,9.2,2.77,3652.11,4743,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
ORD-C2B5E6A7,2024-11-29,"Shanghai, CN","Los Angeles, US",18,20,23,3,0.7,7.3,3.29,7137.32,5089,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
ORD-1938D053,2025-08-23,"Tokyo, JP","Singapore, SG",7,10,17,7,0.64,8.3,3.9,3960.6,4025,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
ORD-98DBB9AA,2024-01-19,"Mumbai, IN","Felixstowe, UK",3,4,18,14,0.81,6.5,4.69,100919.81,4224,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
ORD-16919CF2,2025-04-28,"Mumbai, IN","Felixstowe, UK",24,26,35,9,0.64,0.7,4.4,400.16,305,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
ORD-6FB8A80B,2024-10-04,"Shenzhen, CN","Rotterdam, NL",28,30,43,13,0.53,5.8,1.87,10110.24,8260,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ORD-A8A9EA22,2025-03-28,"Tokyo, JP","Singapore, SG",7,9,11,2,0.87,3.2,3.69,501.91,488,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
ORD-21EC8CBA,2025-06-18,"Santos, BR","Shanghai, CN",35,36,40,4,0.49,5.4,3.77,6010.21,7334,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
ORD-781DEC58,2024-04-27,"Hamburg, DE","New York, US",12,13,16,3,0.35,0.8,3.13,3513.51,4732,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
ORD-74E9518C,2025-02-27,"Tokyo, JP","Singapore, SG",7,8,11,3,0.11,9.0,0.95,2773.51,4543,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
ORD-39080F0D,2024-04-20,"Shanghai, CN","Los Angeles, US",18,21,22,1,0.89,4.4,5.69,8076.91,7770,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
ORD-CD481240,2025-10-04,"Mumbai, IN","Felixstowe, UK",24,27,40,13,0.3,0.3,4.31,9285.12,5952,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
ORD-A5899794,2025-10-01,"Mumbai, IN","Felixstowe, UK",24,27,37,10,0.76,7.4,2.7,7368.06,5233,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ORD-CECD601A,2025-08-04,"Mumbai, IN","Felixstowe, UK",3,4,23,19,0.16,9.6,2.84,120398.26,7863,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
ORD-E00B3D58,2024-09-26,"Mumbai, IN","Felixstowe, UK",24,25,39,14,0.61,2.6,2.29,9978.13,7747,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ORD-65BB8EFC,2024-10-08,"Shenzhen, CN","Rotterdam, NL",3,5,15,10,0.66,4.5,3.9,144772.58,6607,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
ORD-E5B1E0B4,2024-09-02,"Mumbai, IN","Felixstowe, UK",24,27,36,9,0.23,5.2,1.61,7598.45,7722,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
ORD-7DB7ADB9,2025-02-21,"Tokyo, JP","Singapore, SG",2,3,4,1,0.23,1.1,3.45,25371.79,2273,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
ORD-412D8B86,2024-06-20,"Mumbai, IN","Felixstowe, UK",24,27,45,18,0.89,4.5,4.1,14258.16,9430,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
ORD-17091CA2,2025-03-23,"Mumbai, IN","Felixstowe, UK",24,25,40,15,0.16,4.3,1.04,7454.62,8033,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
ORD-74DD9E6A,2024-11-04,"Hamburg, DE","New York, US",12,14,19,5,0.41,0.6,2.73,766.98,989,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
ORD-866C81C7,2025-06-01,"Hamburg, DE","New York, US",12,13,14,1,0.2,1.8,3.85,6191.46,9381,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
ORD-0DBFE2C3,2025-09-06,"Tokyo, JP","Singapore, SG",2,4,10,6,0.8,2.6,3.62,81348.3,4565,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
ORD-CC98247B,2025-12-02,"Shanghai, CN","Los Angeles, US",18,20,22,2,0.72,1.5,2.37,2499.33,2642,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
ORD-B0E09150,2025-02-27,"Tokyo, JP","Singapore, SG",7,8,14,6,0.87,9.2,3.37,8462.5,8228,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
ORD-4523AAB3,2025-04-18,"Shenzhen, CN","Rotterdam, NL",28,29,48,19,0.16,6.0,5.83,8659.63,6221,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
ORD-B3F292A9,2024-10-06,"Shenzhen, CN","Rotterdam, NL",3,4,24,20,0.48,0.6,2.63,68669.04,3515,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
ORD-43457DBD,2025-09-25,"Tokyo, JP","Singapore, SG",7,8,17,9,0.52,1.4,3.43,692.21,506,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
ORD-263A5423,2025-11-15,"Hamburg, DE","New York, US",12,14,18,4,0.24,0.2,3.22,688.14,1009,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
ORD-51E5AB48,2025-06-05,"Tokyo, JP","Singapore, SG",2,3,9,6,0.45,7.3,3.02,43371.24,3296,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
ORD-3E49CA17,2025-11-19,"Hamburg, DE","New York, US",2,3,6,3,0.46,2.9,3.54,13527.74,1021,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
ORD-13E7EE26,2024-10-20,"Hamburg, DE","New York, US",12,14,15,1,0.34,4.7,3.83,513.69,697,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
ORD-70EDF63F,2024-07-25,"Shanghai, CN","Los Angeles, US",2,5,10,5,0.48,8.5,5.05,89758.15,6126,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
ORD-BB5228A4,2025-02-10,"Shanghai, CN","Los Angeles, US",18,21,22,1,0.36,7.8,2.68,1571.55,2101,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
ORD-8B8E3CBE,2024-07-13,"Shanghai, CN","Los Angeles, US",18,20,25,5,0.41,7.6,3.24,10065.71,7932,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
ORD-2EC13BE7,2024-03-08,"Shenzhen, CN","Rotterdam, NL",28,29,42,13,0.24,1.6,4.67,2668.48,2690,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
ORD-94DF3B32,2025-08-31,"Santos, BR","Shanghai, CN",35,36,38,2,0.29,4.7,5.55,5029.64,7089,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
ORD-26AD6826,2025-09-22,"Shenzhen, CN","Rotterdam, NL",28,31,41,10,0.28,3.6,1.8,3243.01,3167,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ORD-4CF864EC,2025-07-19,"Mumbai, IN","Felixstowe, UK",24,25,34,9,0.88,2.7,5.07,9503.78,6319,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
ORD-73BD7D0E,2024-11-12,"Mumbai, IN","Felixstowe, UK",24,26,41,15,0.45,6.6,2.6,9079.31,7827,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ORD-1BF12396,2025-08-15,"Tokyo, JP","Singapore, SG",7,8,13,5,0.78,1.6,4.8,2991.47,2801,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
ORD-E7D391EC,2024-06-17,"Shenzhen, CN","Rotterdam, NL",28,31,39,8,0.61,2.7,3.69,8554.9,4428,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
ORD-5C6744E5,2024-12-12,"Shanghai, CN","Los Angeles, US",18,20,26,6,0.78,6.0,4.37,8333.25,8512,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
ORD-9BEAAD44,2025-08-03,"Hamburg, DE","New York, US",2,3,5,2,0.61,3.8,0.55,25773.36,1764,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
ORD-DB11B024,2024-07-29,"Shanghai, CN","Los Angeles, US",18,21,28,7,0.71,9.7,3.04,5328.02,5193,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
ORD-BE824FEE,2025-10-18,"Santos, BR","Shanghai, CN",35,37,41,4,0.16,0.4,2.74,5625.88,8818,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
ORD-B3040D13,2024-04-25,"Santos, BR","Shanghai, CN",35,38,40,2,0.27,6.2,2.42,2942.79,4213,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
ORD-FDAD0252,2024-07-30,"Shanghai, CN","Los Angeles, US",18,20,26,6,0.29,5.7,3.71,4046.47,5228,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
ORD-BA2B258F,2024-09-21,"Shenzhen, CN","Rotterdam, NL",28,30,45,15,0.62,0.7,4.28,12779.86,9861,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
ORD-0486DC40,2025-08-21,"Shenzhen, CN","Rotterdam, NL",28,29,47,18,0.44,0.0,4.53,1275.26,1107,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
ORD-8F862D99,2025-12-20,"Hamburg, DE","New York, US",12,15,16,1,0.63,8.5,2.02,8415.44,9387,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
ORD-88E99B89,2025-06-13,"Shenzhen, CN","Rotterdam, NL",28,30,41,11,0.36,4.8,2.87,9093.5,8358,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
